1010	0	1	1	1	0
1020	0	1	1	1	0
120	1	1	1	7	0
1050	1	1	1	7	0
1030	2	1	1	7	0
100	2	1	1	7	0
1040	3	2	1	11	0
160	4	1	1	11	0
1060	5	2	1	13	0
1070	6	2	2	15	1
1080	10	1	1	13	0
1090	10	1	1	13	0
140	11	1	1	15	0
150	12	1	1	15	0
1130	12	1	1	15	0
1100	13	1	1	22	0
1110	14	1	1	22	0
1140	15	3	2	26	0
1120	16	2	1	30	1
1220	16	1	1	30	0
1150	20	1	1	26	0
1160	21	1	1	30	0
110	22	1	1	30	0
1170	23	1	1	37	0
1190	24	2	2	37	0
1200	25	2	2	41	0
1210	25	1	1	41	0
1180	26	3	2	45	0
1230	26	2	2	45	1
1260	30	1	1	41	0
1280	30	1	1	41	0
190	31	1	1	45	0
1270	31	1	1	45	0
1240	32	3	2	45	0
170	33	2	2	52	0
1300	33	1	1	52	0
1250	34	2	1	52	0
1290	34	2	2	52	0
1310	35	1	1	56	0
1320	36	3	2	60	1
1330	40	2	1	56	0
130	40	1	1	56	0
1350	41	1	1	60	0
1340	42	1	1	60	0
1370	43	1	1	70	0
180	44	1	1	70	0
1360	45	1	1	75	0
1380	46	1	1	80	1
